CCITT Huffman Code Tables
=========================
Reference: ITU-T T.4 / Lagom CCITTCommon.h

Format: run_length, code_length, code (binary)


================================================================================
WHITE TERMINATING CODES (Table 2/T.4)
Run lengths 0-63
================================================================================

0, 8, 00110101
1, 6, 000111
2, 4, 0111
3, 4, 1000
4, 4, 1011
5, 4, 1100
6, 4, 1110
7, 4, 1111
8, 5, 10011
9, 5, 10100
10, 5, 00111
11, 5, 01000
12, 6, 001000
13, 6, 000011
14, 6, 110100
15, 6, 110101
16, 6, 101010
17, 6, 101011
18, 7, 0100111
19, 7, 0001100
20, 7, 0001000
21, 7, 0010111
22, 7, 0000011
23, 7, 0000100
24, 7, 0101000
25, 7, 0101011
26, 7, 0010011
27, 7, 0100100
28, 7, 0011000
29, 8, 00000010
30, 8, 00000011
31, 8, 00011010
32, 8, 00011011
33, 8, 00010010
34, 8, 00010011
35, 8, 00010100
36, 8, 00010101
37, 8, 00010110
38, 8, 00010111
39, 8, 00101000
40, 8, 00101001
41, 8, 00101010
42, 8, 00101011
43, 8, 00101100
44, 8, 00101101
45, 8, 00000100
46, 8, 00000101
47, 8, 00001010
48, 8, 00001011
49, 8, 01010010
50, 8, 01010011
51, 8, 01010100
52, 8, 01010101
53, 8, 00100100
54, 8, 00100101
55, 8, 01011000
56, 8, 01011001
57, 8, 01011010
58, 8, 01011011
59, 8, 01001010
60, 8, 01001011
61, 8, 00110010
62, 8, 00110011
63, 8, 00110100


================================================================================
BLACK TERMINATING CODES (Table 2/T.4)
Run lengths 0-63
================================================================================

0, 10, 0000110111
1, 3, 010
2, 2, 11
3, 2, 10
4, 3, 011
5, 4, 0011
6, 4, 0010
7, 5, 00011
8, 6, 000101
9, 6, 000100
10, 7, 0000100
11, 7, 0000101
12, 7, 0000111
13, 8, 00000100
14, 8, 00000111
15, 9, 000011000
16, 10, 0000010111
17, 10, 0000011000
18, 10, 0000001000
19, 11, 00001100111
20, 11, 00001101000
21, 11, 00001101100
22, 11, 00000110111
23, 11, 00000101000
24, 11, 00000010111
25, 11, 00000011000
26, 12, 000011001010
27, 12, 000011001011
28, 12, 000011001100
29, 12, 000011001101
30, 12, 000001101000
31, 12, 000001101001
32, 12, 000001101010
33, 12, 000001101011
34, 12, 000011010010
35, 12, 000011010011
36, 12, 000011010100
37, 12, 000011010101
38, 12, 000011010110
39, 12, 000011010111
40, 12, 000001101100
41, 12, 000001101101
42, 12, 000011011010
43, 12, 000011011011
44, 12, 000001010100
45, 12, 000001010101
46, 12, 000001010110
47, 12, 000001010111
48, 12, 000001100100
49, 12, 000001100101
50, 12, 000001010010
51, 12, 000001010011
52, 12, 000000100100
53, 12, 000000110111
54, 12, 000000111000
55, 12, 000000100111
56, 12, 000000101000
57, 12, 000001011000
58, 12, 000001011001
59, 12, 000000101011
60, 12, 000000101100
61, 12, 000001011010
62, 12, 000001100110
63, 12, 000001100111


================================================================================
WHITE MAKE-UP CODES (Table 3a/T.4)
Run lengths 64, 128, 192, ... 1728
================================================================================

64, 5, 11011
128, 5, 10010
192, 6, 010111
256, 7, 0110111
320, 8, 00110110
384, 8, 00110111
448, 8, 01100100
512, 8, 01100101
576, 8, 01101000
